purchase_request,Date,month-year,labels,total,currency,status,responsible
TTK-60149003,16/3/2020,3-2020,company_a,26675.47,USD,Closed,buyer_10
TTK-90630159,13/12/2019,12-2019,company_a,66513.8,USD,Closed,buyer_7
TTK-77398144,01/5/2020,5-2020,company_b,73454.91,USD,On hold,buyer_9
TTK-38069671,06/8/2020,8-2020,company_b,86493.34,CHF,Clarification,buyer_6
TTK-72562291,31/3/2020,3-2020,company_a,18518.98,EUR,Closed,buyer_4
TTK-45140684,28/3/2020,3-2020,company_a,83925.84,EUR,On hold,buyer_10
TTK-32388662,14/7/2020,7-2020,company_c,40588.64,EUR,Open,buyer_7
TTK-29848374,31/12/2019,12-2019,company_b,67585.3,PLN,On hold,buyer_1
TTK-9685139,10/12/2019,12-2019,company_a,62361.2,EUR,Open,buyer_7
TTK-53855262,01/3/2020,3-2020,company_a,52277.98,CHF,Open,buyer_5
TTK-89465608,01/3/2020,3-2020,company_a,50787.95,USD,Open,buyer_8
TTK-52434281,27/5/2020,5-2020,company_c,2482.29,CHF,On hold,buyer_2
TTK-14206105,03/2/2020,2-2020,company_c,41043.19,USD,Closed,buyer_10
TTK-53682496,10/2/2020,2-2020,company_b,61629.61,USD,Closed,buyer_9
TTK-85450424,27/6/2020,6-2020,company_b,24111.3,PLN,Closed,buyer_10
TTK-77318791,04/8/2020,8-2020,company_a,75975.2,CHF,Open,buyer_8
TTK-74227872,11/3/2020,3-2020,company_c,18412.27,USD,Closed,buyer_1
TTK-98594540,23/5/2020,5-2020,company_b,13711.87,EUR,Closed,buyer_7
TTK-16607495,23/7/2020,7-2020,company_c,38728.33,USD,Closed,buyer_8
TTK-15142589,04/6/2020,6-2020,company_a,59854.25,USD,On hold,buyer_10
TTK-62220333,09/12/2019,12-2019,company_a,65952.66,USD,Open,buyer_9
TTK-4103761,02/4/2020,4-2020,company_a,73994.52,CHF,On hold,buyer_2
TTK-94594992,19/7/2020,7-2020,company_b,92958.52,USD,In Progress,buyer_10
TTK-1955473,14/12/2019,12-2019,company_a,5768.78,USD,Closed,buyer_1
TTK-57217848,25/12/2019,12-2019,company_a,79697.7,USD,Open,buyer_10
TTK-56460274,21/4/2020,4-2020,company_c,55296.44,CHF,On hold,buyer_6
TTK-13767492,28/3/2020,3-2020,company_b,51471.37,EUR,Closed,buyer_9
TTK-98882050,20/5/2020,5-2020,company_a,68885.74,USD,Clarification,buyer_3
TTK-77134824,02/8/2020,8-2020,company_c,55994.47,EUR,Clarification,buyer_1
TTK-81829003,18/4/2020,4-2020,company_a,82757.55,USD,Closed,buyer_7
TTK-94702118,28/2/2020,2-2020,company_a,1128.17,CHF,Open,buyer_3
TTK-21879084,01/2/2020,2-2020,company_b,80959.88,PLN,Open,buyer_3
TTK-80020378,06/1/2020,1-2020,company_a,3758.52,USD,Clarification,buyer_1
TTK-79692980,19/2/2020,2-2020,company_b,76003.3,EUR,Closed,buyer_3
TTK-58389023,17/12/2019,12-2019,company_c,20958.31,USD,In Progress,buyer_2
TTK-88513662,05/3/2020,3-2020,company_c,97967.48,PLN,Open,buyer_4
TTK-54786115,29/3/2020,3-2020,company_b,24405.42,PLN,Clarification,buyer_2
TTK-19564125,20/7/2020,7-2020,company_a,90600.8,PLN,Open,buyer_7
TTK-74527519,16/3/2020,3-2020,company_c,64704.16,CHF,Open,buyer_10
TTK-59661986,18/7/2020,7-2020,company_a,7204.11,USD,In Progress,buyer_4
TTK-96777119,04/4/2020,4-2020,company_a,51167.24,USD,In Progress,buyer_10
TTK-50544137,15/5/2020,5-2020,company_a,20734.75,EUR,Closed,buyer_4
TTK-53876876,01/5/2020,5-2020,company_c,32369.29,PLN,Clarification,buyer_4
TTK-22643662,15/3/2020,3-2020,company_b,83763.7,USD,On hold,buyer_6
TTK-15462284,29/3/2020,3-2020,company_b,36444.46,EUR,On hold,buyer_4
TTK-73885737,26/2/2020,2-2020,company_b,63920.68,EUR,Open,buyer_6
TTK-79181873,29/3/2020,3-2020,company_a,85361.6,CHF,In Progress,buyer_4
TTK-40951677,06/4/2020,4-2020,company_c,73126.37,PLN,Open,buyer_6
TTK-26162635,09/7/2020,7-2020,company_c,72749.38,CHF,On hold,buyer_8
TTK-72156036,09/4/2020,4-2020,company_a,34447.78,USD,In Progress,buyer_10
TTK-49946785,29/6/2020,6-2020,company_b,5431.3,PLN,Open,buyer_5
TTK-63175067,02/8/2020,8-2020,company_c,82732.8,PLN,Closed,buyer_2
TTK-66386740,24/4/2020,4-2020,company_a,50009.68,CHF,Clarification,buyer_6
TTK-88501507,08/5/2020,5-2020,company_a,896.66,USD,In Progress,buyer_4
TTK-77750383,22/1/2020,1-2020,company_b,33157.3,USD,Closed,buyer_10
TTK-52313685,27/3/2020,3-2020,company_b,65786.51,USD,Closed,buyer_2
TTK-42056760,10/4/2020,4-2020,company_a,20605.38,PLN,In Progress,buyer_3
TTK-42031363,25/12/2019,12-2019,company_a,44292.8,USD,Closed,buyer_8
TTK-62614477,31/3/2020,3-2020,company_c,63262.87,EUR,Open,buyer_8
TTK-41020847,01/2/2020,2-2020,company_a,89181.63,CHF,In Progress,buyer_2
TTK-23148495,09/1/2020,1-2020,company_c,93785.54,EUR,Clarification,buyer_4
TTK-638771,31/7/2020,7-2020,company_b,96398.11,CHF,Closed,buyer_10
TTK-58851612,21/3/2020,3-2020,company_a,54308.98,PLN,In Progress,buyer_2
TTK-23193589,04/3/2020,3-2020,company_a,74995.32,EUR,On hold,buyer_8
TTK-17225180,17/8/2020,8-2020,company_b,50333.33,EUR,Open,buyer_1
TTK-64077115,12/5/2020,5-2020,company_c,12331.41,CHF,Open,buyer_7
TTK-3555261,21/1/2020,1-2020,company_a,88111.69,CHF,Open,buyer_4
TTK-91079408,09/7/2020,7-2020,company_b,43883.4,PLN,In Progress,buyer_3
TTK-10856552,29/6/2020,6-2020,company_c,90810.28,CHF,Open,buyer_2
TTK-79323669,27/1/2020,1-2020,company_b,56217.3,USD,On hold,buyer_1
TTK-69813760,24/3/2020,3-2020,company_b,19273.19,CHF,In Progress,buyer_5
TTK-35564149,18/5/2020,5-2020,company_a,74137.61,CHF,In Progress,buyer_5
TTK-32732066,27/6/2020,6-2020,company_a,58206.61,PLN,In Progress,buyer_8
TTK-62670042,13/12/2019,12-2019,company_c,71993.55,EUR,Open,buyer_4
TTK-91082071,13/12/2019,12-2019,company_c,4422.46,EUR,Closed,buyer_9
TTK-77070629,05/6/2020,6-2020,company_b,96848.61,USD,Closed,buyer_4
